Location,Variant,Time,TPopulation1Jan,TPopulation1July
World,Medium,2037,8974849663,9006026370
World,Medium,2038,9037203076,9067889026
World,Medium,2039,9098574977,9128661215
World,Medium,2040,9158747453,9188250492
World,Medium,2041,9217753531,9246673300
World,Medium,2042,9275593070,9303896851
World,Medium,2043,9332200631,9359836420
World,Medium,2044,9387472210,9414408423
World,Medium,2045,9441344637,9467543575
World,Medium,2046,9493742512,9519190804
World,Medium,2047,9544639095,9569297886
World,Medium,2048,9593956678,9617774470
World,Medium,2049,9641592262,9664516146
World,Medium,2050,9687440029,9709491761
World,Medium,2051,9731543492,9752656916
World,Medium,2052,9773770339,9794102043
World,Medium,2053,9814433747,9833861191
World,Medium,2054,9853288635,9871900602
World,Medium,2055,9890512569,9908304869
World,Medium,2056,9926097169,9943123262
World,Medium,2057,9960149356,9976440150
World,Medium,2058,9992730945,1000831011
World,Medium,2059,1002388928,1003870586
World,Medium,2060,1005352245,1006773361
World,Medium,2061,1008194477,1009557306
World,Medium,2062,1010920136,1012230768
World,Medium,2063,1013541400,1014794912
World,Medium,2064,1016048423,1017251378
World,Medium,2065,1018454332,1019596490
World,Medium,2066,1020738648,1021827302
World,Medium,2067,1022915955,1023958378
World,Medium,2068,1025000801,1025987299
World,Medium,2069,1026973797,1027907487
World,Medium,2070,1028841177,1029716671
World,Medium,2071,1030592166,1031414230
World,Medium,2072,1032236295,1033005985
World,Medium,2073,1033775676,1034489149
World,Medium,2074,1035202623,1035855276
World,Medium,2075,1036507930,1037099420
World,Medium,2076,1037690910,1038218040
World,Medium,2077,1038745170,1039208200
World,Medium,2078,1039671230,1040074975
World,Medium,2079,1040478720,1040826692
World,Medium,2080,1041174664,1041463719
World,Medium,2081,1041752774,1041985149
World,Medium,2082,1042217524,1042402290
World,Medium,2083,1042587055,1042722640
World,Medium,2084,1042858225,1042944740
World,Medium,2085,1043031254,1043067910
World,Medium,2086,1043104566,1043092628
World,Medium,2087,1043080690,1043026762
World,Medium,2088,1042972835,1042883063
World,Medium,2089,1042793290,1042660115
World,Medium,2090,1042526939,1042354104
World,Medium,2091,1042181268,1041964713
World,Medium,2092,1041748158,1041495983
World,Medium,2093,1041243808,1040949109
World,Medium,2094,1040654410,1040327215
World,Medium,2095,1040000020,1039630584
World,Medium,2096,1039261149,1038851715
World,Medium,2097,1038442281,1037988845
World,Medium,2098,1037535409,1037044520
World,Medium,2099,1036553631,1036026936
World,Medium,2100,1035500242,1034932304
World,Medium,2101,1034364366,
